Import_ID,HS_Code,Product_Description,Country_of_Origin,Quantity_tonnes,Value_EUR,CO2_Embedded_tCO2,Transport_Mode,Customs_Regime,Sector,CBAM_Subject
1,3102.60,Fertiliser product (3102.60),Turkey,755.33,580066.47,23.13,Sea,Transit,Fertiliser,Yes
2,3102.10,Fertiliser product (3102.10),Turkey,1201.33,302028.92,12.57,Air,Inward processing,Fertiliser,Yes
3,3102.60,Fertiliser product (3102.60),Turkey,125.59,89547.49,3.27,Rail,Transit,Fertiliser,Yes
4,2716.00,Electricity product (2716.00),Saudi Arabia,1419.06,231845.91,55.27,Sea,Temporary admission,Electricity,Yes
5,2716.00,Electricity product (2716.00),Saudi Arabia,1666.56,480003.31,18.94,Sea,Free circulation,Electricity,Yes
6,3102.30,Fertiliser product (3102.30),South Africa,374.97,130398.61,8.76,Air,Inward processing,Fertiliser,Yes
7,3102.10,Fertiliser product (3102.10),India,869.57,295044.18,22.97,Road,Inward processing,Fertiliser,Yes
8,2523.21,Cement product (2523.21),China,287.59,97750.12,5.13,Rail,Inward processing,Cement,Yes
9,7214.91,Steel product (7214.91),Egypt,917.58,605937.14,11.0,Sea,Inward processing,Steel,Yes
10,2804.10,Hydrogen product (2804.10),Saudi Arabia,1033.33,552903.34,6.85,Air,Free circulation,Hydrogen,Yes
11,2523.90,Cement product (2523.90),India,1219.01,317967.4,8.87,Road,Temporary admission,Cement,Yes
12,7214.91,Steel product (7214.91),Egypt,1898.28,1476217.98,63.2,Road,Free circulation,Steel,Yes
13,7214.91,Steel product (7214.91),Turkey,616.18,131546.34,17.84,Air,Free circulation,Steel,Yes
14,7214.91,Steel product (7214.91),Ukraine,885.9,203158.89,19.78,Rail,Inward processing,Steel,Yes
15,2523.29,Cement product (2523.29),China,78.43,58121.2,1.1,Sea,Transit,Cement,Yes
16,3102.30,Fertiliser product (3102.30),USA,1328.42,468417.1,30.82,Sea,Temporary admission,Fertiliser,Yes
17,3102.30,Fertiliser product (3102.30),South Africa,1097.95,296617.12,42.75,Sea,Inward processing,Fertiliser,Yes
18,2523.21,Cement product (2523.21),Turkey,1552.51,1180954.48,56.39,Road,Temporary admission,Cement,Yes
19,2804.10,Hydrogen product (2804.10),South Africa,1199.82,898927.04,9.72,Rail,Transit,Hydrogen,Yes
20,7208.39,Steel product (7208.39),Russia,400.01,71760.89,6.55,Air,Inward processing,Steel,Yes
21,7606.12,Aluminium product (7606.12),Saudi Arabia,783.47,255706.49,26.64,Rail,Inward processing,Aluminium,Yes
22,3102.10,Fertiliser product (3102.10),Turkey,719.94,239457.39,17.27,Sea,Inward processing,Fertiliser,Yes
23,7601.10,Aluminium product (7601.10),Russia,290.44,195009.56,2.21,Road,Transit,Aluminium,Yes
24,2804.10,Hydrogen product (2804.10),India,1973.91,1286908.59,23.6,Rail,Inward processing,Hydrogen,Yes
25,2804.10,Hydrogen product (2804.10),Saudi Arabia,20.99,14274.25,0.62,Rail,Inward processing,Hydrogen,Yes
26,2716.00,Electricity product (2716.00),Turkey,1460.72,951404.51,11.09,Air,Free circulation,Electricity,Yes
27,2523.90,Cement product (2523.90),Egypt,723.35,162981.52,25.47,Road,Transit,Cement,Yes
28,7214.91,Steel product (7214.91),South Africa,1250.36,456486.08,9.03,Road,Free circulation,Steel,Yes
29,2716.00,Electricity product (2716.00),Russia,628.85,227247.0,19.2,Road,Inward processing,Electricity,Yes
